"","player_name","team_name","games","time","goals","assists","shots","key_passes","xG","xA","npxG","npxG90","xA90","npxG_plus_xA90"
"1","Erling Haaland","Manchester City",15,1305,14,4,58,16,16.7274999320507,3.24723109789193,13.6828247606754,0.943643086943133,0.223946972268409,1.16759005921154
"2","Darwin Núñez","Liverpool",18,1049,5,5,50,17,9.26088525075465,3.24773155059665,9.26088525075465,0.794546875660552,0.278642363730886,1.07318923939144
"3","Callum Wilson","Newcastle United",14,710,7,1,31,5,8.66250088065863,0.428669301792979,7.14016330987215,0.905091123786611,0.05433836219911,0.959429485985721
"4","Leandro Trossard","Arsenal",14,537,3,1,18,12,3.43586020544171,1.97707108221948,3.43586020544171,0.575842492532131,0.331352695344047,0.907195187876178
"5","Chris Wood","Nottingham Forest",17,616,7,1,18,12,5.02758608013391,1.07241009362042,5.02758608013391,0.73454991430528,0.156683292899087,0.891233207204367
"6","Mohamed Salah","Liverpool",19,1678,12,7,59,43,11.2537938058376,7.97094052657485,8.20919270813465,0.44030235025752,0.427523627766231,0.867825978023751
"7","Nicolas Jackson","Chelsea",17,1278,7,1,42,13,10.6287316214293,1.4919245261699,10.6287316214293,0.74850222686122,0.105065107476753,0.853567334337973
"8","Alexander Isak","Newcastle United",14,981,8,0,31,10,9.49555057287216,1.24864615872502,7.97321283817291,0.731487416346139,0.114554693461011,0.84604210980715
"9","Leon Bailey","Aston Villa",17,782,5,5,24,17,3.12005185335875,4.01691603660583,3.12005185335875,0.359085251665329,0.462304914698881,0.82139016636421
"10","Pablo Sarabia","Wolverhampton Wanderers",11,531,1,4,14,24,1.22961057722569,3.57328788936138,1.22961057722569,0.208408572411133,0.605642015145997,0.81405058755713
"11","Beto","Everton",13,408,1,0,21,6,2.87042124615982,0.556847301311791,2.87042124615982,0.633181157241137,0.12283396352466,0.756015120765797
"12","Neal Maupay","Brentford",12,551,2,2,21,8,3.58850565925241,1.00782960746437,3.58850565925241,0.586144300059377,0.164618266192003,0.750762566251379
"13","Arnaut Danjuma Groeneveld","Everton",10,393,1,0,20,5,2.93056557327509,0.325510799884796,2.93056557327509,0.671121887009562,0.0745444579888846,0.745666344998447
"14","Ollie Watkins","Aston Villa",19,1689,9,6,53,27,10.2737388685346,3.60724260658026,10.2737388685346,0.54744612088106,0.192215414204987,0.739661535086047
"15","Richarlison","Tottenham",15,786,5,3,32,7,5.3573126476258,0.880545064806938,5.3573126476258,0.613432745911352,0.10082577077942,0.714258516690772
"16","Son Heung-Min","Tottenham",18,1559,11,4,45,33,7.00292944908142,6.08086513355374,6.24176061153412,0.360332556150142,0.351044170634918,0.711376726785059
"17","Brennan Johnson","Tottenham",12,694,1,3,22,16,3.29601296782494,2.17133729532361,3.29601296782494,0.427436840207845,0.281585528211996,0.70902236841984
"18","Carlos Vinicius","Fulham",13,286,2,0,9,5,1.62438803166151,0.576106656342745,1.62438803166151,0.511171058914461,0.181292304443521,0.692463363357982
"19","Jack Grealish","Manchester City",10,529,3,1,15,13,1.9777357429266,2.07215869426727,1.9777357429266,0.336476780460102,0.35254117671844,0.689017957178541
"20","Armando Broja","Chelsea",10,296,1,0,9,1,2.19543278031051,0.0289228446781635,2.19543278031051,0.667530237256574,0.00879410817917134,0.676324345435746
"21","Cole Palmer","Chelsea",15,1050,6,3,33,25,5.87855828367174,4.89486580900848,2.83388283662498,0.242904243139284,0.419559926486441,0.662464169625725
"22","Dominic Solanke","Bournemouth",18,1618,12,1,57,14,11.4737512543797,0.997695099562406,10.7125824019313,0.595879120008539,0.0554960191351153,0.651375139143654
"23","Dominic Calvert-Lewin","Everton",14,1002,3,0,31,6,6.61397818848491,0.629807449411601,6.61397818848491,0.594069897169303,0.0565695313842755,0.650639428553579
"24","Estupiñán","Brighton",6,501,1,3,8,13,0.958143117837608,2.58699741214514,0.958143117837608,0.172121518174421,0.464730074038049,0.636851592212469
"25","James Maddison","Tottenham",11,909,3,5,27,31,2.94461618922651,3.46415580436587,2.94461618922651,0.291546157349159,0.342985723204542,0.634531880553701
"26","Jarrod Bowen","West Ham",17,1530,11,1,47,11,8.29572493582964,2.27955769561231,8.29572493582964,0.487983819754685,0.134091629153665,0.62207544890835
"27","Keane Lewis-Potter","Brentford",11,400,1,0,14,2,2.63317219540477,0.131059285253286,2.63317219540477,0.592463743966073,0.0294883391819894,0.621952083148062
"28","Bukayo Saka","Arsenal",17,1502,5,6,37,43,5.9841365031898,5.85271300375462,4.46179888024926,0.267351464196028,0.350695186643086,0.618046650839114
"29","Anthony Gordon","Newcastle United",18,1525,6,4,40,20,5.90147648379207,4.56761539913714,5.90147648379207,0.34828385805986,0.269564187490061,0.61784804554992
"30","Diogo Jota","Liverpool",13,657,5,0,23,12,3.79360628128052,0.594490872696042,3.79360628128052,0.519672093326098,0.0814371058487729,0.601109199174871
"31","Eberechi Eze","Crystal Palace",12,820,2,1,33,22,3.65146650373936,2.53659174963832,2.89029765874147,0.317227791813089,0.278406411545669,0.595634203358758
"32","Moussa Diaby","Aston Villa",19,1246,3,4,29,26,3.00171418115497,5.1304323412478,3.00171418115497,0.216817236198994,0.370576974889488,0.587394211088482
"33","Solly March","Brighton",7,571,3,1,14,7,2.71988470852375,0.991332266479731,2.71988470852375,0.42870336911933,0.156252020986297,0.584955390105627
"34","Ben Chilwell","Chelsea",6,351,0,1,7,9,0.959005028009415,1.28690016269684,0.959005028009415,0.245898725130619,0.329974400691497,0.575873125822116
"35","Gabriel Jesus","Arsenal",13,847,3,1,28,12,4.27206720784307,1.14504725858569,4.27206720784307,0.453938664351683,0.121669720510876,0.57560838486256
"36","Taiwo Awoniyi","Nottingham Forest",10,688,4,2,12,9,3.71535001695156,0.675555858761072,3.71535001695156,0.486019624310524,0.0883721326867682,0.574391756997292
"37","Bryan Mbeumo","Brentford",15,1289,7,3,41,22,7.57461512833834,2.89480174332857,5.29110855609179,0.369433491115796,0.202119594181204,0.571553085296999
"38","Reece James","Chelsea",8,404,0,1,7,10,0.338995715603232,2.1956724897027,0.338995715603232,0.0755188475353736,0.489134960577335,0.564653808112708
"39","Raheem Sterling","Chelsea",18,1442,5,3,31,22,5.32903009653091,3.69245308451355,5.32903009653091,0.33260243320928,0.230458236897517,0.563060670106797
"40","Abdoulaye Doucouré","Everton",17,1460,6,0,28,22,7.04720298945904,2.0368963368237,7.04720298945904,0.434416622637886,0.125562102954886,0.559978725592772
"41","Jean-Philippe Mateta","Crystal Palace",15,603,2,3,12,13,2.49929895997047,1.98093152046204,1.73813010007143,0.259422402995736,0.295661420964483,0.555083823960219
"42","Bruno Fernandes","Manchester United",18,1620,3,3,46,52,4.82726518064737,6.4715658146888,3.3049274161458,0.183607078674767,0.359531434149378,0.543138512824145
"43","Oliver McBurnie","Sheffield United",11,677,3,1,17,6,3.35912634059787,1.44778685644269,2.59795744344592,0.345371004298571,0.192467972052943,0.537838976351514
"44","Pedro Neto","Wolverhampton Wanderers",10,894,1,7,18,24,1.87306687235832,3.45898022502661,1.87306687235832,0.188563779096475,0.348219485740934,0.536783264837409
"45","Jéremy Doku","Manchester City",11,721,2,5,22,19,1.23123347014189,3.06872527301311,1.23123347014189,0.153690724428252,0.383058633247129,0.536749357675382
"46","Anthony Elanga","Nottingham Forest",19,1265,4,5,35,16,3.11400289647281,4.42560938000679,3.11400289647281,0.221549613187789,0.314865489486649,0.536415102674438
"47","Julián Álvarez","Manchester City",17,1441,4,5,41,39,4.79147593677044,3.74337940383703,4.79147593677044,0.299259427001624,0.23379885242563,0.533058279427253
"48","Eddie Nketiah","Arsenal",17,845,5,1,28,7,4.28302132338285,0.637153822928667,4.28302132338285,0.456179785922434,0.0678625373533492,0.524042323275783
"49","João Pedro","Brighton",18,940,5,1,34,14,4.72247516363859,2.27117294166237,3.20021167211235,0.306403245202246,0.217452728457036,0.523855973659281
"50","Dwight McNeil","Everton",15,1214,2,3,28,24,1.94653458334506,5.0166396908462,1.94653458334506,0.144306517710918,0.371909038036374,0.516215555747293
"51","Marcus Tavernier","Bournemouth",15,1111,2,3,27,19,2.48458273336291,3.79109000880271,2.48458273336291,0.20127132853525,0.307109001613181,0.508380330148431
"52","Michael Olise","Crystal Palace",7,485,2,1,14,15,1.51337662152946,1.97515314072371,0.752207750454545,0.139584943383318,0.366523263227079,0.506108206610397
"53","Odsonne Edouard","Crystal Palace",15,1270,6,0,39,13,6.13176785409451,0.864791008643806,6.13176785409451,0.434534729817721,0.0612844021873563,0.495819132005077
"54","Phil Foden","Manchester City",17,1341,4,4,33,29,4.13306108675897,3.13158467411995,4.13306108675897,0.277386650118052,0.210173468061742,0.487560118179793
"55","Kaoru Mitoma","Brighton",17,1308,3,4,31,23,4.13626983389258,2.91806837543845,4.13626983389258,0.284605722515545,0.200784521245765,0.48539024376131
"56","Said Benrahma","West Ham",11,487,0,1,16,10,1.02374116331339,1.58151308819652,1.02374116331339,0.189192412111304,0.292271412603052,0.481463824714356
"57","Nicolo Zaniolo","Aston Villa",13,512,1,0,19,6,2.3345769867301,0.39193157106638,2.3345769867301,0.41037486094865,0.068894221476512,0.479269082425162
"58","Hee-Chan Hwang","Wolverhampton Wanderers",18,1325,8,2,30,13,5.65799420513213,2.12328725494444,4.8968253377825,0.332614551245604,0.144223285241509,0.476837836487113
"59","Marcus Rashford","Manchester United",18,1244,2,2,41,15,5.32064056582749,1.99944939091802,4.55947172828019,0.329865317962393,0.144654698699857,0.474520016662249
"60","Bernardo Silva","Manchester City",14,1176,4,3,13,28,1.42508559674025,4.69183043949306,1.42508559674025,0.109062673219917,0.359068656083653,0.468131329303569
